T_inlet,T_initial,V_initial,Time_step,Temperature
300,290,0.04,60,290
300,290,0.04,120,290
300,290,0.04,180,290
300,290,0.04,240,290
300,290,0.04,300,290
300,290,0.04,360,290
300,290,0.04,420,290.009
300,290,0.04,480,290.065
300,290,0.04,540,290.136
300,290,0.04,600,290.189
300,290,0.04,660,290.232
300,290,0.04,720,290.279
300,290,0.04,780,290.337
300,290,0.04,840,290.407
300,290,0.04,900,290.489
300,290,0.04,960,290.586
300,290,0.04,1020,290.707
300,290,0.04,1080,290.874
300,290,0.04,1140,291.155
300,290,0.04,1200,291.356
300,290,0.04,1260,291.297
300,290,0.04,1320,291.151
300,290,0.04,1380,291.011
300,290,0.04,1440,290.899
300,290,0.04,1500,290.817
300,290,0.04,1560,290.76
300,290,0.04,1620,290.722
300,290,0.04,1680,290.701
300,290,0.04,1740,290.693
300,290,0.04,1800,290.691
300,290,0.04,1860,290.701
300,290,0.04,1920,290.737
300,290,0.04,1980,290.796
300,290,0.04,2040,290.863
300,290,0.04,2100,290.932
300,290,0.04,2160,291.003
300,290,0.04,2220,291.077
300,290,0.04,2280,291.151
300,290,0.04,2340,291.225
300,290,0.04,2400,291.304
300,290,0.04,2460,291.376
300,290,0.04,2520,291.442
300,290,0.045,60,290
300,290,0.045,120,290
300,290,0.045,180,290
300,290,0.045,240,290
300,290,0.045,300,290
300,290,0.045,360,290.001
300,290,0.045,420,290.037
300,290,0.045,480,290.128
300,290,0.045,540,290.201
300,290,0.045,600,290.253
300,290,0.045,660,290.305
300,290,0.045,720,290.374
300,290,0.045,780,290.46
300,290,0.045,840,290.563
300,290,0.045,900,290.696
300,290,0.045,960,290.892
300,290,0.045,1020,291.218
300,290,0.045,1080,291.348
300,290,0.045,1140,291.225
300,290,0.045,1200,291.064
300,290,0.045,1260,290.929
300,290,0.045,1320,290.827
300,290,0.045,1380,290.753
300,290,0.045,1440,290.702
300,290,0.045,1500,290.675
300,290,0.045,1560,290.668
300,290,0.045,1620,290.667
300,290,0.045,1680,290.677
300,290,0.045,1740,290.717
300,290,0.045,1800,290.784
300,290,0.045,1860,290.857
300,290,0.045,1920,290.935
300,290,0.045,1980,291.015
300,290,0.045,2040,291.099
300,290,0.045,2100,291.184
300,290,0.045,2160,291.27
300,290,0.045,2220,291.351
300,290,0.045,2280,291.423
300,290,0.045,2340,291.51
300,290,0.045,2400,291.57
300,290,0.045,2460,291.659
300,290,0.045,2520,291.717
300,290,0.05,60,290
300,290,0.05,120,290
300,290,0.05,180,290
300,290,0.05,240,290
300,290,0.05,300,290
300,290,0.05,360,290.006
300,290,0.05,420,290.087
300,290,0.05,480,290.192
300,290,0.05,540,290.26
300,290,0.05,600,290.318
300,290,0.05,660,290.393
300,290,0.05,720,290.491
300,290,0.05,780,290.616
300,290,0.05,840,290.793
300,290,0.05,900,291.111
300,290,0.05,960,291.34
300,290,0.05,1020,291.229
300,290,0.05,1080,291.054
300,290,0.05,1140,290.911
300,290,0.05,1200,290.805
300,290,0.05,1260,290.727
300,290,0.05,1320,290.676
300,290,0.05,1380,290.653
300,290,0.05,1440,290.654
300,290,0.05,1500,290.658
300,290,0.05,1560,290.676
300,290,0.05,1620,290.732
300,290,0.05,1680,290.807
300,290,0.05,1740,290.886
300,290,0.05,1800,290.972
300,290,0.05,1860,291.062
300,290,0.05,1920,291.156
300,290,0.05,1980,291.25
300,290,0.05,2040,291.341
300,290,0.05,2100,291.418
300,290,0.05,2160,291.508
300,290,0.05,2220,291.585
300,290,0.05,2280,291.668
300,290,0.05,2340,291.737
300,290,0.05,2400,291.847
300,290,0.05,2460,291.941
300,290,0.05,2520,291.975
300,290,0.055,60,290
300,290,0.055,120,290
300,290,0.055,180,290
300,290,0.055,240,290
300,290,0.055,300,290
300,290,0.055,360,290.025
300,290,0.055,420,290.153
300,290,0.055,480,290.255
300,290,0.055,540,290.32
300,290,0.055,600,290.395
300,290,0.055,660,290.5
300,290,0.055,720,290.64
300,290,0.055,780,290.86
300,290,0.055,840,291.244
300,290,0.055,900,291.3
300,290,0.055,960,291.116
300,290,0.055,1020,290.947
300,290,0.055,1080,290.823
300,290,0.055,1140,290.734
300,290,0.055,1200,290.671
300,290,0.055,1260,290.641
300,290,0.055,1320,290.646
300,290,0.055,1380,290.658
300,290,0.055,1440,290.672
300,290,0.055,1500,290.724
300,290,0.055,1560,290.8
300,290,0.055,1620,290.883
300,290,0.055,1680,290.976
300,290,0.055,1740,291.074
300,290,0.055,1800,291.175
300,290,0.055,1860,291.27
300,290,0.055,1920,291.365
300,290,0.055,1980,291.468
300,290,0.055,2040,291.546
300,290,0.055,2100,291.638
300,290,0.055,2160,291.715
300,290,0.055,2220,291.856
300,290,0.055,2280,291.934
300,290,0.055,2340,291.967
300,290,0.055,2400,292.044
300,290,0.055,2460,292.221
300,290,0.055,2520,292.244
300,290,0.06,60,290
300,290,0.06,120,290
300,290,0.06,180,290
300,290,0.06,240,290
300,290,0.06,300,290
300,290,0.06,360,290.067
300,290,0.06,420,290.222
300,290,0.06,480,290.313
300,290,0.06,540,290.384
300,290,0.06,600,290.486
300,290,0.06,660,290.63
300,290,0.06,720,290.875
300,290,0.06,780,291.281
300,290,0.06,840,291.258
300,290,0.06,900,291.05
300,290,0.06,960,290.888
300,290,0.06,1020,290.774
300,290,0.06,1080,290.693
300,290,0.06,1140,290.64
300,290,0.06,1200,290.632
300,290,0.06,1260,290.654
300,290,0.06,1320,290.666
300,290,0.06,1380,290.699
300,290,0.06,1440,290.769
300,290,0.06,1500,290.85
300,290,0.06,1560,290.946
300,290,0.06,1620,291.049
300,290,0.06,1680,291.157
300,290,0.06,1740,291.265
300,290,0.06,1800,291.36
300,290,0.06,1860,291.468
300,290,0.06,1920,291.579
300,290,0.06,1980,291.647
300,290,0.06,2040,291.77
300,290,0.06,2100,291.86
300,290,0.06,2160,291.935
300,290,0.06,2220,292.001
300,290,0.06,2280,292.222
300,290,0.06,2340,292.268
300,290,0.06,2400,292.37
300,290,0.06,2460,292.43
300,290,0.06,2520,292.653
300,291,0.04,60,291
300,291,0.04,120,291
300,291,0.04,180,291
300,291,0.04,240,291
300,291,0.04,300,291
300,291,0.04,360,291.002
300,291,0.04,420,291.052
300,291,0.04,480,291.13
300,291,0.04,540,291.187
300,291,0.04,600,291.24
300,291,0.04,660,291.318
300,291,0.04,720,291.458
300,291,0.04,780,291.678
300,291,0.04,840,291.719
300,291,0.04,900,291.632
300,291,0.04,960,291.535
300,291,0.04,1020,291.457
300,291,0.04,1080,291.399
300,291,0.04,1140,291.358
300,291,0.04,1200,291.344
300,291,0.04,1260,291.355
300,291,0.04,1320,291.372
300,291,0.04,1380,291.385
300,291,0.04,1440,291.406
300,291,0.04,1500,291.436
300,291,0.04,1560,291.472
300,291,0.04,1620,291.516
300,291,0.04,1680,291.567
300,291,0.04,1740,291.622
300,291,0.04,1800,291.676
300,291,0.04,1860,291.733
300,291,0.04,1920,291.791
300,291,0.04,1980,291.837
300,291,0.04,2040,291.893
300,291,0.04,2100,291.942
300,291,0.04,2160,291.993
300,291,0.04,2220,292.04
300,291,0.04,2280,292.117
300,291,0.04,2340,292.166
300,291,0.04,2400,292.217
300,291,0.04,2460,292.312
300,291,0.04,2520,292.411
300,291,0.045,60,291
300,291,0.045,120,291
300,291,0.045,180,291
300,291,0.045,240,291
300,291,0.045,300,291
300,291,0.045,360,291.014
300,291,0.045,420,291.107
300,291,0.045,480,291.191
300,291,0.045,540,291.253
300,291,0.045,600,291.342
300,291,0.045,660,291.529
300,291,0.045,720,291.718
300,291,0.045,780,291.672
300,291,0.045,840,291.564
300,291,0.045,900,291.473
300,291,0.045,960,291.407
300,291,0.045,1020,291.359
300,291,0.045,1080,291.335
300,291,0.045,1140,291.341
300,291,0.045,1200,291.361
300,291,0.045,1260,291.375
300,291,0.045,1320,291.397
300,291,0.045,1380,291.428
300,291,0.045,1440,291.464
300,291,0.045,1500,291.511
300,291,0.045,1560,291.566
300,291,0.045,1620,291.626
300,291,0.045,1680,291.688
300,291,0.045,1740,291.75
300,291,0.045,1800,291.803
300,291,0.045,1860,291.863
300,291,0.045,1920,291.921
300,291,0.045,1980,291.976
300,291,0.045,2040,292.034
300,291,0.045,2100,292.115
300,291,0.045,2160,292.164
300,291,0.045,2220,292.23
300,291,0.045,2280,292.342
300,291,0.045,2340,292.41
300,291,0.045,2400,292.439
300,291,0.045,2460,292.52
300,291,0.045,2520,292.552
300,291,0.05,60,291
300,291,0.05,120,291
300,291,0.05,180,291
300,291,0.05,240,291
300,291,0.05,300,291
300,291,0.05,360,291.044
300,291,0.05,420,291.168
300,291,0.05,480,291.25
300,291,0.05,540,291.338
300,291,0.05,600,291.539
300,291,0.05,660,291.717
300,291,0.05,720,291.641
300,291,0.05,780,291.527
300,291,0.05,840,291.441
300,291,0.05,900,291.38
300,291,0.05,960,291.338
300,291,0.05,1020,291.324
300,291,0.05,1080,291.341
300,291,0.05,1140,291.359
300,291,0.05,1200,291.376
300,291,0.05,1260,291.404
300,291,0.05,1320,291.44
300,291,0.05,1380,291.486
300,291,0.05,1440,291.543
300,291,0.05,1500,291.606
300,291,0.05,1560,291.672
300,291,0.05,1620,291.74
300,291,0.05,1680,291.806
300,291,0.05,1740,291.863
300,291,0.05,1800,291.937
300,291,0.05,1860,291.988
300,291,0.05,1920,292.074
300,291,0.05,1980,292.134
300,291,0.05,2040,292.198
300,291,0.05,2100,292.317
300,291,0.05,2160,292.388
300,291,0.05,2220,292.447
300,291,0.05,2280,292.513
300,291,0.05,2340,292.644
300,291,0.05,2400,292.715
300,291,0.05,2460,292.806
300,291,0.05,2520,292.875
300,291,0.055,60,291
300,291,0.055,120,291
300,291,0.055,180,291
300,291,0.055,240,291
300,291,0.055,300,291.001
300,291,0.055,360,291.096
300,291,0.055,420,291.228
300,291,0.055,480,291.317
300,291,0.055,540,291.494
300,291,0.055,600,291.711
300,291,0.055,660,291.638
300,291,0.055,720,291.516
300,291,0.055,780,291.429
300,291,0.055,840,291.368
300,291,0.055,900,291.327
300,291,0.055,960,291.318
300,291,0.055,1020,291.337
300,291,0.055,1080,291.352
300,291,0.055,1140,291.372
300,291,0.055,1200,291.404
300,291,0.055,1260,291.446
300,291,0.055,1320,291.501
300,291,0.055,1380,291.566
300,291,0.055,1440,291.637
300,291,0.055,1500,291.71
300,291,0.055,1560,291.784
300,291,0.055,1620,291.845
300,291,0.055,1680,291.918
300,291,0.055,1740,291.984
300,291,0.055,1800,292.083
300,291,0.055,1860,292.152
300,291,0.055,1920,292.226
300,291,0.055,1980,292.362
300,291,0.055,2040,292.429
300,291,0.055,2100,292.523
300,291,0.055,2160,292.679
300,291,0.055,2220,292.676
300,291,0.055,2280,292.742
300,291,0.055,2340,292.795
300,291,0.055,2400,292.812
300,291,0.055,2460,292.982
300,291,0.055,2520,293.028
300,291,0.06,60,291
300,291,0.06,120,291
300,291,0.06,180,291
300,291,0.06,240,291
300,291,0.06,300,291.007
300,291,0.06,360,291.159
300,291,0.06,420,291.288
300,291,0.06,480,291.419
300,291,0.06,540,291.689
300,291,0.06,600,291.662
300,291,0.06,660,291.528
300,291,0.06,720,291.432
300,291,0.06,780,291.368
300,291,0.06,840,291.325
300,291,0.06,900,291.313
300,291,0.06,960,291.331
300,291,0.06,1020,291.347
300,291,0.06,1080,291.369
300,291,0.06,1140,291.405
300,291,0.06,1200,291.451
300,291,0.06,1260,291.515
300,291,0.06,1320,291.587
300,291,0.06,1380,291.663
300,291,0.06,1440,291.739
300,291,0.06,1500,291.81
300,291,0.06,1560,291.891
300,291,0.06,1620,291.962
300,291,0.06,1680,292.06
300,291,0.06,1740,292.142
300,291,0.06,1800,292.264
